coil num,Fx,Fy,Fz,FMag,Fr,hoop_s(MPa)
0,-6.30505383014679e-07,1.3813551049679518e-06,33486521.569207095,33486521.569207095,682426676.0503613,16.050746836805857
1,-6.603077054023743e-07,1.3341777957975864e-06,4255950.500529439,4255950.500529439,728673792.3211229,17.138483851265036
2,-7.35744833946228e-07,1.4209654182195663e-06,1136494.5657809346,1136494.5657809346,737944201.5271403,17.35652484594092
3,-6.202608346939087e-07,1.2421805877238512e-06,433262.1705775651,433262.1705775651,740971359.6513369,17.42772392181479
4,-6.537884473800659e-07,1.265812898054719e-06,195103.22437433302,195103.22437433302,742242885.1298054,17.45763033413379
5,-5.885958671569824e-07,1.4195684343576431e-06,88432.37264493437,88432.37264493437,742829796.2788476,17.471434545779637
6,-7.152557373046875e-07,1.4277175068855286e-06,25798.721129757574,25798.721129757574,743068754.2944005,17.477054863312453
7,-6.891787052154541e-07,1.4234683476388454e-06,-25798.721129709753,25798.721129709753,743068754.2944005,17.477054863312453
8,-6.351619958877563e-07,1.3014650903642178e-06,-88432.37264516726,88432.37264516726,742829796.2788478,17.471434545779644
9,-6.575137376785278e-07,1.3354874681681395e-06,-195103.2243744375,195103.2243744375,742242885.1298054,17.45763033413379
10,-6.705522537231445e-07,1.3191020116209984e-06,-433262.1705774236,433262.1705774236,740971359.6513373,17.427723921814795
11,-7.37607479095459e-07,1.4210818335413933e-06,-1136494.5657810103,1136494.5657810103,737944201.5271403,17.35652484594092
12,-6.966292858123779e-07,1.350621460005641e-06,-4255950.50052924,4255950.50052924,728673792.3211229,17.138483851265036
13,-6.69620931148529e-07,1.4304532669484615e-06,-33486521.569207072,33486521.569207072,682426676.0503615,16.050746836805864
